cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat,Id,poisonous
x,y,n,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,3230,0
f,s,p,True,n,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w,5386,0
f,s,e,False,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,6378,1
f,y,g,False,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,2684,1
x,f,w,False,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,1216,0
b,y,y,False,n,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l,655,1
x,s,w,True,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,u,3302,1
x,y,e,True,n,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,3699,0
k,s,e,False,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,6675,1
x,y,w,True,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,141,0
f,y,g,False,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,647,1
x,f,y,False,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,4507,1
f,y,n,True,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,6285,0
f,y,n,True,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,4858,1
x,s,e,False,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,p,2097,1
x,s,e,False,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,2676,1
f,s,n,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,4178,1
b,y,y,True,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,6701,0
x,f,g,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,2095,0
x,y,y,True,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p,1561,0
k,y,e,False,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,2695,1
f,s,g,False,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g,584,0
x,f,g,True,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,7442,0
b,s,n,False,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,v,l,7579,0
f,f,n,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,4536,0
k,s,n,False,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,5227,1
x,y,u,False,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,y,d,4230,0
x,s,w,False,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,4499,0
f,y,y,False,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d,0,1
x,f,g,False,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,204,1
x,s,n,False,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,n,c,l,2160,0
x,f,g,False,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,4218,1
f,y,e,False,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,884,1
x,y,e,False,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,d,6250,1
f,f,y,False,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,1383,1
f,y,n,True,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,6925,1
k,y,e,False,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,3011,1
f,y,n,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,6009,0
x,y,e,False,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,5369,1
x,s,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,5626,1
f,y,e,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,175,0
f,y,e,True,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,4640,0
f,f,n,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,y,d,6202,0
x,y,e,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,330,1
f,y,e,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,2651,0
x,y,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,4369,1
f,y,e,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,8064,0
x,s,b,True,f,f,c,b,w,t,b,s,s,w,w,p,w,o,p,h,v,g,3787,1
x,f,n,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,394,0
f,f,y,False,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,914,1
x,f,g,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,7546,0
f,f,n,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,4707,0
f,f,n,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,2708,0
x,y,w,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g,3738,1
x,s,g,True,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,g,4389,1
f,s,n,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,6688,1
k,s,n,False,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,4142,1
x,s,n,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,6764,0
f,s,g,True,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,5106,1
k,y,e,False,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,5560,1
f,f,y,False,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d,3877,1
f,y,e,False,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,4655,1
x,y,e,False,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,1132,1
f,y,g,False,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,p,3984,1
f,f,y,False,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g,3098,1
b,y,y,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,2797,0
x,y,n,False,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,5632,1
f,f,g,False,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,920,1
f,f,g,False,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,7296,0
x,f,n,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,3842,0
x,f,g,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,5113,0
f,f,y,False,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,4932,1
f,f,g,False,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,5679,1
f,s,n,False,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,7252,1
f,s,n,False,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,5424,1
x,y,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,5986,1
x,y,g,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,6085,0
x,s,n,False,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,5897,1
x,y,y,False,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,3518,1
x,s,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,232,1
f,f,g,False,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,4630,0
f,f,g,False,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,7600,1
b,y,y,True,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,4679,0
f,y,n,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,530,0
f,s,n,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,806,0
f,s,w,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,3111,0
x,y,e,False,y,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,v,l,6101,1
x,f,w,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,5395,0
x,s,w,False,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,6773,0
x,s,w,False,n,f,w,b,g,e,?,k,s,w,w,p,w,t,p,w,s,g,7670,0
x,f,n,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,y,d,4337,0
x,y,y,False,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,5180,1
x,s,w,True,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,2063,0
f,y,n,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,7761,0
f,y,n,False,n,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l,4181,0
f,y,g,False,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,1372,1
f,s,b,True,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,g,7580,1
x,f,g,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,5956,0
f,f,g,False,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,2637,0
x,s,y,True,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,5410,0
x,f,w,False,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,7435,0
f,y,y,True,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,2336,0
x,y,g,False,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,4708,1
f,s,n,False,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,775,1
f,s,w,True,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,s,u,4991,1
f,y,e,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,1878,0
x,s,w,False,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g,4592,0
f,f,n,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,1919,0
f,f,g,False,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,5415,1
f,s,n,False,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,6273,1
x,y,g,True,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,1890,0
f,y,y,False,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,4259,1
b,y,y,True,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,1933,0
x,y,e,False,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,d,2837,1
x,y,g,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,2659,0
x,y,y,True,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,3018,0
f,s,n,False,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,o,c,l,6806,0
x,f,g,False,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,1652,1
f,s,w,True,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g,4653,1
x,f,y,False,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,4118,1
f,f,g,False,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,p,5642,1
f,f,g,False,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,7749,1
x,s,n,False,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,565,0
f,y,y,False,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,5907,1
x,y,e,False,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,7331,1
x,y,y,True,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,1422,0
f,f,g,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,2927,0
f,f,g,False,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,6541,0
x,y,n,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,4299,1
x,s,g,False,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,5570,1
x,f,n,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,1159,0
f,f,g,True,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,4479,0
f,f,e,True,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,5478,0
f,y,g,False,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,3692,1
x,y,b,True,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,1073,0
f,f,n,False,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,5932,0
f,f,g,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,1010,0
k,s,n,False,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,1166,1
f,y,y,False,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,3134,1
x,f,y,True,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,1845,0
f,y,y,False,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g,386,1
f,y,n,True,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w,7721,0
x,y,y,False,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,7257,1
x,s,y,True,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,218,0
b,s,w,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,2503,0
f,s,n,False,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,4691,1
k,y,e,False,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,6453,1
f,f,g,True,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,5025,0
x,y,y,False,n,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,v,d,2914,1
f,s,n,False,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,2482,1
b,y,y,False,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,4914,1
x,y,g,True,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,5610,0
f,s,b,True,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u,1153,1
k,y,n,False,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,3689,1
x,y,g,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,3296,0
f,s,e,False,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,5916,1
f,y,e,True,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,2338,0
k,y,n,False,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,5837,1
f,y,g,True,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,5578,0
k,s,e,False,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,3939,1
f,f,g,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,3811,0
x,y,n,True,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,4049,0
f,y,n,False,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,d,3857,1
f,s,n,False,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,2653,1
f,y,n,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,7791,0
x,y,e,False,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,1967,1
f,s,w,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,5576,0
x,f,n,True,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,7910,0
f,f,g,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,3029,0
b,s,n,False,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,o,v,l,5107,0
k,s,e,False,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,887,1
x,f,w,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,2387,0
x,f,g,False,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,4155,1
x,s,w,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,452,0
f,s,g,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,170,0
f,y,p,True,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,m,1512,1
f,s,w,False,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,3397,0
b,s,b,True,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,1832,1
b,s,w,True,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,6231,0
k,f,n,False,n,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,3152,1
f,y,e,True,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,107,0
f,y,n,False,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,8117,1
x,y,n,True,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,2172,0
x,f,g,False,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,5502,0
f,f,g,True,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,3771,0
f,y,g,False,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,3203,1
f,y,w,True,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,2641,1
f,s,b,True,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,v,g,2772,1
k,y,n,False,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,p,7849,1
f,f,y,False,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,5340,1
f,y,g,False,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,6451,1
b,y,p,True,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,g,5218,1
k,y,n,False,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d,2455,1
k,y,n,False,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p,4505,1
f,y,e,False,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,5336,1
f,f,g,True,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,6309,0
x,s,w,False,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,4231,0
f,f,y,False,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,1984,1
x,f,g,True,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,v,d,5140,0
f,f,g,True,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,6931,0
f,y,y,True,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,4350,0
f,f,y,False,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,2870,1
f,y,g,True,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,2405,0
x,f,g,True,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,2716,0
x,s,w,True,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,8055,0
k,y,e,False,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,4297,1
f,s,g,False,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,4885,0
f,y,n,False,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,6002,1
f,y,y,False,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,7267,1
f,s,n,False,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,4012,0
x,f,g,True,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,2135,0
f,f,w,False,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,3532,0
x,s,n,False,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,6170,1
f,y,n,False,n,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l,2592,0
f,y,g,True,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,7509,0
x,s,n,False,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,c,l,3639,0
f,f,n,False,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,5247,0
x,f,g,True,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,2898,0
f,f,g,False,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,d,6266,1
x,s,n,False,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,7295,1
f,y,w,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,2124,1
k,s,n,False,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,y,v,l,3006,0
x,f,e,True,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,1271,0
x,s,p,False,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,6946,1
k,s,e,False,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,d,5485,1
x,f,e,True,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,4697,0
f,y,y,False,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,d,4037,1
f,f,g,True,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,7715,0
x,f,g,False,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p,3252,1
x,s,w,True,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,6639,0
f,y,e,True,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,4359,0
k,y,n,False,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,2440,1
f,y,e,False,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,3434,1
x,f,g,False,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,p,5305,1
x,f,g,False,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,2877,0
f,y,g,False,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,p,1799,1
x,f,y,False,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,839,1
f,s,p,True,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,5240,0
k,s,e,False,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,1549,1
f,s,g,True,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,g,3180,1
f,f,g,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,279,0
x,y,n,True,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,3515,0
x,y,n,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,4261,0
x,f,w,False,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,2496,1
x,f,y,False,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,657,1
f,s,b,True,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,g,5675,1
f,y,n,True,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d,7012,0
x,s,e,False,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,6165,1
f,y,g,False,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,4837,1
x,f,g,False,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,786,1
x,y,n,True,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,7722,0
f,f,g,True,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,1187,0
f,f,w,False,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,3108,0
f,y,w,True,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,4754,1
x,y,n,True,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,5900,0
f,y,g,True,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,207,0
x,s,w,False,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,s,g,895,0
x,y,n,False,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,p,1673,1
f,f,g,False,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,5041,1
